provinceState,Confirmed,Recovered,Deaths,Active,date
Anhui,991,985,6,0,2020-06-02 02:33:08
Beijing,593,581,9,3,2020-06-02 02:33:08
Chongqing,579,573,6,0,2020-06-02 02:33:08
Fujian,358,356,1,1,2020-06-02 02:33:08
Gansu,139,137,2,0,2020-06-02 02:33:08
Guangdong,1596,1583,8,5,2020-06-02 02:33:08
Guangxi,254,252,2,0,2020-06-02 02:33:08
Guizhou,147,145,2,0,2020-06-02 02:33:08
Hainan,169,163,6,0,2020-06-02 02:33:08
Hebei,328,322,6,0,2020-06-02 02:33:08
Heilongjiang,945,932,13,0,2020-06-02 02:33:08
Henan,1276,1254,22,0,2020-06-02 02:33:08
Hong Kong,1087,1037,4,46,2020-06-02 02:33:08
Hubei,68135,63620,4512,3,2020-06-02 02:33:08
Hunan,1019,1015,4,0,2020-06-02 02:33:08
Inner Mongolia,235,209,1,25,2020-06-02 02:33:08
Jiangsu,653,653,0,0,2020-06-02 02:33:08
Jiangxi,937,936,1,0,2020-06-02 02:33:08
Jilin,155,147,2,6,2020-06-02 02:33:08
Liaoning,149,147,2,0,2020-06-02 02:33:08
Macau,45,45,0,0,2020-06-02 02:33:08
Ningxia,75,75,0,0,2020-06-02 02:33:08
Qinghai,18,18,0,0,2020-06-02 02:33:08
Shaanxi,309,305,3,1,2020-06-02 02:33:08
Shandong,792,780,7,5,2020-06-02 02:33:08
Shanghai,673,660,7,6,2020-06-02 02:33:08
Shanxi,198,198,0,0,2020-06-02 02:33:08
Sichuan,577,558,3,16,2020-06-02 02:33:08
Tianjin,192,188,3,1,2020-06-02 02:33:08
Tibet,1,1,0,0,2020-06-02 02:33:08
Xinjiang,76,73,3,0,2020-06-02 02:33:08
Yunnan,185,183,2,0,2020-06-02 02:33:08
Zhejiang,1268,1267,1,0,2020-06-02 02:33:08
Anhui,991,985,6,0,2020-06-03 02:33:13
Beijing,593,581,9,3,2020-06-03 02:33:13
Chongqing,579,573,6,0,2020-06-03 02:33:13
Fujian,358,356,1,1,2020-06-03 02:33:13
Gansu,139,137,2,0,2020-06-03 02:33:13
Guangdong,1597,1583,8,6,2020-06-03 02:33:13
Guangxi,254,252,2,0,2020-06-03 02:33:13
Guizhou,147,145,2,0,2020-06-03 02:33:13
Hainan,169,163,6,0,2020-06-03 02:33:13
Hebei,328,322,6,0,2020-06-03 02:33:13
Heilongjiang,945,932,13,0,2020-06-03 02:33:13
Henan,1276,1254,22,0,2020-06-03 02:33:13
Hong Kong,1093,1038,4,51,2020-06-03 02:33:13
Hubei,68135,63620,4512,3,2020-06-03 02:33:13
Hunan,1019,1015,4,0,2020-06-03 02:33:13
Inner Mongolia,235,209,1,25,2020-06-03 02:33:13
Jiangsu,653,653,0,0,2020-06-03 02:33:13
Jiangxi,937,936,1,0,2020-06-03 02:33:13
Jilin,155,147,2,6,2020-06-03 02:33:13
Liaoning,149,147,2,0,2020-06-03 02:33:13
Macau,45,45,0,0,2020-06-03 02:33:13
Ningxia,75,75,0,0,2020-06-03 02:33:13
Qinghai,18,18,0,0,2020-06-03 02:33:13
Shaanxi,309,305,3,1,2020-06-03 02:33:13
Shandong,792,780,7,5,2020-06-03 02:33:13
Shanghai,673,661,7,5,2020-06-03 02:33:13
Shanxi,198,198,0,0,2020-06-03 02:33:13
Sichuan,577,558,3,16,2020-06-03 02:33:13
Tianjin,192,188,3,1,2020-06-03 02:33:13
Tibet,1,1,0,0,2020-06-03 02:33:13
Xinjiang,76,73,3,0,2020-06-03 02:33:13
Yunnan,185,183,2,0,2020-06-03 02:33:13
Zhejiang,1268,1267,1,0,2020-06-03 02:33:13
Anhui,991,985,6,0,2020-06-04 02:33:14
Beijing,594,583,9,2,2020-06-04 02:33:14
Chongqing,579,573,6,0,2020-06-04 02:33:14
Fujian,358,356,1,1,2020-06-04 02:33:14
Gansu,139,137,2,0,2020-06-04 02:33:14
Guangdong,1598,1583,8,7,2020-06-04 02:33:14
Guangxi,254,252,2,0,2020-06-04 02:33:14
Guizhou,147,145,2,0,2020-06-04 02:33:14
Hainan,169,163,6,0,2020-06-04 02:33:14
Hebei,328,322,6,0,2020-06-04 02:33:14
Heilongjiang,947,934,13,0,2020-06-04 02:33:14
Henan,1276,1254,22,0,2020-06-04 02:33:14
Hong Kong,1093,1039,4,50,2020-06-04 02:33:14
