provinceState,Confirmed,Recovered,Deaths,Active,date
Anhui,994,987,6,1,2021-01-26 05:22:02
Beijing,1030,968,9,53,2021-01-26 05:22:02
Chongqing,591,584,6,1,2021-01-26 05:22:02
Fujian,536,520,1,15,2021-01-26 05:22:02
Gansu,183,180,2,1,2021-01-26 05:22:02
Guangdong,2108,2057,8,43,2021-01-26 05:22:02
Guangxi,267,262,2,3,2021-01-26 05:22:02
Guizhou,147,145,2,0,2021-01-26 05:22:02
Hainan,171,165,6,0,2021-01-26 05:22:02
Hebei,1299,514,7,778,2021-01-26 05:22:02
Heilongjiang,1447,965,13,469,2021-01-26 05:22:02
Henan,1303,1277,22,4,2021-01-26 05:22:02
Hong Kong,10158,9056,171,931,2021-01-26 05:22:02
Hubei,68150,63637,4512,1,2021-01-26 05:22:02
Hunan,1028,1017,4,7,2021-01-26 05:22:02
Inner Mongolia,366,351,1,14,2021-01-26 05:22:02
Jiangsu,691,685,0,6,2021-01-26 05:22:02
Jiangxi,935,934,1,0,2021-01-26 05:22:02
Jilin,437,156,3,278,2021-01-26 05:22:02
Liaoning,397,379,2,16,2021-01-26 05:22:02
Macau,47,46,0,1,2021-01-26 05:22:02
Ningxia,75,75,0,0,2021-01-26 05:22:02
Qinghai,18,18,0,0,2021-01-26 05:22:02
Shaanxi,535,508,3,24,2021-01-26 05:22:02
Shandong,866,857,7,2,2021-01-26 05:22:02
Shanghai,1654,1533,7,114,2021-01-26 05:22:02
Shanxi,237,225,0,12,2021-01-26 05:22:02
Sichuan,866,853,3,10,2021-01-26 05:22:02
Tianjin,338,310,3,25,2021-01-26 05:22:02
Tibet,1,1,0,0,2021-01-26 05:22:02
Xinjiang,980,977,3,0,2021-01-26 05:22:02
Yunnan,231,228,2,1,2021-01-26 05:22:02
Zhejiang,1316,1305,1,10,2021-01-26 05:22:02
